phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot
10.882218,11.367058,10.239973,10.390628064061831,0.014151007,734.26776,0.048,4958.874,4.5744
20.345688,21.510166,18.908926,10.546997003453741,0.94937015,11.1094675,,,
12.534505,13.582236,11.521283,17.267511064863456,0.017216755,1002.94806,,,
13.219018,14.225509,12.221742,11.895246284149833,0.013375249,889.34766,0.4111,3945.6836,4.7032
8.011133,7.7238874,6.954373,20.88488339874121,0.090097755,231.80249,,,
18.696129,19.005041,18.047651,16.655609557479156,0.19957691,83.45459,,,
16.211317,16.96351,14.478152,14.293866286240702,0.080700316,177.1228,,,
15.828706,,,11.473085411331317,0.06887895,166.56882,,,
14.90289,16.03455,13.6915245,11.500966985282549,0.03345328,343.79193,,,
16.729303,18.528515,15.438954,12.601693857102582,0.07361181,171.1912,,,
18.130486,20.733116,16.710316,13.9478490130318,0.18388222,75.85208,,,
15.999999,17.661064,14.759032,12.3276138653306,0.05574082,221.15955,,,
14.070296,15.360045,12.949181,11.287818126560108,0.04696834,240.32823,0.4793,3549.5322,4.5552
19.736765,,,11.966525423295971,0.6826701,17.529001,,,
15.84538,17.32929,14.643623,10.550115788715672,0.04958106,212.7852,,,
12.42188,13.291641,11.505801,11.04055558204551,0.018207239,606.38275,0.3997,4208.4453,4.5965
14.40067,15.04032,12.727767,11.2132423427592,0.39639595,28.287983,,,
18.398623,20.787691,16.94523,11.016681984916262,0.2630929,41.87373,,,
15.627639,17.270313,14.396448,13.31110332564629,0.0399714,333.0157,,,
11.219054,11.761295,10.526865,10.40593529511436,0.017739747,586.5887,0.0404,4716.597,4.5688
16.553238,18.232939,15.310369,12.916555332927462,0.061137,211.27232,,,
16.384232,,,14.77935512052446,0.10911304,135.44995,,,
16.733395,18.620407,15.448601,13.137420030702536,0.08192677,160.35565,,,
14.903346,16.343803,13.7305,12.086353887480378,0.03327637,363.21127,,,
18.01309,20.84929,16.493166,24.365062053691187,0.20228538,120.44895,,,
3.7018294,3.6811469,3.7389565,16.791442221122395,0.69366705,24.206776,,,
10.562929,11.013825,9.580203,23.34230882798301,0.049435128,472.1806,,,
13.587292,15.3195305,12.332362,48.66139243115562,0.02339976,2079.568,1.0E-4,3000.5178,4.7705
13.869382,13.109924,12.136368,11.315581752694625,0.10801765,104.75678,,,
16.445955,18.540255,15.107171,15.79634456606612,0.060114894,262.76923,0.0018,2969.9263,5.0488
11.54818,12.143548,10.709867,11.6564030781476,0.014743164,790.63104,0.0229,4270.858,4.466
19.173788,19.520481,18.707487,10.97791493484538,0.32366896,33.917107,,,
19.047167,19.426743,18.636143,10.351474816593296,0.27513456,37.623314,,,
15.471432,16.87813,14.026917,12.321039972069325,0.71697384,17.184784,,,
13.283304,14.309132,12.277395,12.791745673254354,0.015672456,816.1928,0.4047,3860.088,4.7429
14.106352,15.216251,12.884031,10.565625586855287,0.6745431,15.663382,,,
15.6922865,17.129932,14.519203,10.17341838946444,0.045783233,222.20839,0.5063,3415.1597,4.7977
17.760132,20.6255,16.27099,22.153844701635872,0.16779745,132.02731,,,
20.232187,20.72686,19.504234,10.406390846543392,0.65934896,15.782827,,,
8.535183,8.619586,7.840054,15.050611864426388,0.32295054,46.603455,,,
7.8838153,8.166665,7.393387,11.33345126475707,0.062047064,182.65895,7.0E-4,5794.879,4.0158
16.132784,17.635717,14.941686,10.564855247308234,0.07403235,142.70593,0.5185,3349.9622,4.7828
13.4555645,14.465661,12.4591055,10.768829985839886,0.019480925,552.78845,0.1435,3568.0847,4.3433
13.9684515,15.111362,12.907694,10.153830893349724,0.024566842,413.31445,0.4044,3724.609,4.7017
10.822438,11.277966,10.195129,11.05189932752989,0.18519184,59.678112,0.3329,5371.4326,4.5888
16.057354,17.64612,14.843371,16.26973368103566,0.053578004,303.66443,0.0021,3188.1228,5.1479
18.442486,18.721205,18.005638,12.499952010840758,0.16066189,77.80284,,,
16.846508,19.320787,15.429884,16.246186302739545,0.11904053,136.47609,,,
18.677092,19.149569,18.037603,16.82488471313677,0.24887201,67.60457,,,
14.697751,16.102753,13.53369,11.473530684352484,0.026814409,427.88675,0.4465,3483.2952,4.813
10.763823,11.329624,10.055134,14.894124632662257,0.015250214,976.6502,7.0E-4,4571.967,4.5799
13.454868,14.739362,12.274037,16.579700507154147,0.04146268,399.87048,,,
13.396912,14.5635,12.324367,12.992139448554038,0.017887097,726.34143,0.3893,3645.768,4.6005
14.505889,16.091871,13.285775,16.799280952367045,0.028091572,598.01855,,,
4.1537447,4.347166,3.9056797,37.5923954771885,0.24399392,154.07103,,,
15.107607,16.709106,13.88441,12.057445302770416,0.042531714,283.49304,,,
11.504931,12.053533,10.660012,10.263786814817745,0.1372355,74.78959,0.2613,4494.6426,4.3341
16.16729,17.972311,14.893225,13.79314310908745,0.053037222,260.06534,,,
18.893532,21.742168,17.232702,13.253970453924511,0.61198586,21.657316,,,
19.56494,20.095211,18.960964,12.233737956014465,0.41514504,29.468586,,,
12.420133,13.473782,11.335559,18.972405253456802,0.09770146,194.18753,,,
16.350256,18.261345,15.0213375,12.611499200890542,0.09486171,132.94615,,,
15.95939,17.4412,14.589302,14.650542582864274,0.063024536,232.45776,,,
17.029917,19.134129,15.694956,14.827790465028956,0.07820222,189.6083,4.0E-4,2976.192,5.1451
18.02867,20.368923,16.628664,14.931112754962868,0.18727937,79.72641,,,
15.320843,16.716702,14.164123,11.31622071943454,0.04428798,255.51451,0.4669,3426.5327,4.7449
15.381942,17.047861,14.069572,11.582490117806723,0.250069,46.317177,,,
16.960861,18.962753,15.646155,12.972709501486385,0.08454971,153.43292,,,
17.794752,19.84263,16.438793,10.300808995805518,0.1881809,54.73887,,,
13.597661,14.994779,12.418932,15.64347704168905,0.110965416,140.97615,,,
17.180384,17.29447,16.901245,19.28026602398071,0.09949502,193.78122,,,
9.94981,10.398103,9.342178,10.364479981386712,0.021585725,480.15433,0.002,5017.3457,4.3357
17.691494,19.78962,16.370989,10.517068178632496,0.1586226,66.30246,0.5669,3128.312,5.0711
14.295762,15.921978,13.064037,19.199687879392368,0.024958026,769.2791,5.0E-4,3017.0652,4.3054
11.623326,12.268665,10.856572,10.911814507287987,0.021719562,502.39572,0.1384,4528.7036,4.6059
17.918837,20.570475,16.507458,14.608511377725154,0.22154929,65.93797,,,
19.442883,19.957348,18.789198,11.551402328387443,0.3702154,31.201843,,,
