,Zini,MH,logAge,Mini,int_IMF,Mass,Log luminosity,Log effective temperature,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Absolute magnitude,G_BPmag,G_RPmag,Color index
0,0.0152,0.01508,10.0,0.0900000036,1.0816895926,0.09,-3.423,3.3625,5.217,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.9e-17,0.0,0.708,0.2767,0.002746,0.0007408,0.006719,-1.0,0.01527,13.327,15.381,18.308,13.89,4.417999999999999
1,0.0152,0.01508,10.0,0.1000000015,1.1711064122,0.1,-3.24,3.3884,5.184,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.59e-17,0.0,0.7076,0.2771,0.002746,0.0007408,0.006719,-1.0,0.01527,12.871,14.924,17.838,13.434,4.404000000000002
2,0.0152,0.01508,10.0,0.1077039689,1.2324166301,0.108,-3.133,3.4026,5.165,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.21e-17,0.0,0.7072,0.2775,0.002746,0.0007408,0.006719,-1.0,0.01527,12.601,14.653,17.56,13.164,4.395999999999999
3,0.0152,0.01508,10.0,0.1200000122,1.3193155232,0.12,-2.975,3.4232,5.137,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.04e-16,0.0,0.7067,0.278,0.002746,0.0007408,0.006719,-1.0,0.01527,12.209,14.176,16.956,12.707,4.248999999999999
4,0.0152,0.01508,10.0,0.1400000006,1.4384526719,0.14,-2.792,3.4435,5.102,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.53e-16,0.0,0.706,0.2788,0.002746,0.0007408,0.006719,-1.0,0.01527,11.749,13.441,15.849,12.038,3.811
5,0.0152,0.01508,10.0,0.1496137679,1.4881080127,0.15,-2.721,3.4502,5.087,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.77e-16,0.0,0.7056,0.2791,0.002746,0.0007408,0.006719,-1.0,0.01527,11.573,13.178,15.471,11.796,3.6750000000000007
6,0.0152,0.01508,10.0,0.1599999964,1.5372931554,0.16,-2.65,3.4571,5.073,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.05e-16,0.0,0.7053,0.2794,0.002746,0.0007408,0.006719,-1.0,0.01527,11.395,12.913,15.086,11.555,3.5310000000000006
7,0.0152,0.01508,10.0,0.200000003,1.6938790862,0.2,-2.43,3.4758,5.025,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.21e-16,0.0,0.7042,0.2806,0.002746,0.0007408,0.006719,-1.0,0.01527,10.846,12.146,14.026,10.852,3.1739999999999995
8,0.0152,0.01508,10.0,0.25,1.8403257998,0.25,-2.217,3.4921,4.974,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.89e-17,0.0,0.7033,0.2814,0.002746,0.0007408,0.006719,-1.0,0.01527,10.314,11.439,13.091,10.204,2.8869999999999987
9,0.0152,0.01508,10.0,0.3000000119,1.9529139769,0.3,-2.052,3.5027,4.93,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.13e-17,0.0,0.703,0.2817,0.002746,0.0007408,0.006719,-1.0,0.01527,9.9,10.932,12.468,9.731,2.737
