,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
0,18.629124,20.095362,17.397757,2.7367159160633827,0.17841817,15.338774,0.0525,3173.697,4.9626,96.2405731236507,1.1270849999999992,6.15797832747468,5.917426996935312,-0.5029707987741248,K
1,17.871004,19.115332,16.781527,2.3588572979203497,0.14065264,16.7708,0.4299,3463.8408,4.4658,,,,,,
3,16.282227,17.65095,15.139704,8.053747022265128,0.046714876,172.40219,0.4403,3432.535,4.8334,84.06719592956046,2.003767,8.87043326838209,8.184785191404035,-1.4099140765616143,K
5,16.271992,16.678385,15.691676,0.5173925441436905,0.047948577,10.790571,0.0079,5273.6055,4.6205,,,,,,
8,17.166658,17.412607,16.49932,0.7344243688428813,0.080805704,9.088769,0.0075,5562.0205,4.6799,,,,,,
9,17.106558,18.288336,16.026354,2.764855262197966,0.10004686,27.635603,0.4718,3677.1086,4.7841,,,,,,
10,12.165601,12.529331,11.627526,1.6611671848228309,0.01662631,99.911964,0.243,5795.8906,4.0213,,,,,,
11,18.81348,19.54248,17.971243,1.0160406895606786,0.22805847,4.4551764,0.0044,3918.9067,5.0005,,,,,,
14,18.80459,20.321228,17.595512,2.545819588544048,0.22545095,11.292122,0.0137,3205.3545,4.9844,,,,,,
18,17.266638,17.610813,16.762093,0.243166859925693,0.0886573,2.7427733,0.0016,5437.1357,4.6519,,,,,,
20,14.038215,14.418302,13.496894,1.0196363357300084,0.021233842,48.019398,0.2,5652.1226,4.0821,,,,,,
23,16.384365,16.798613,15.797764,0.6445190306504377,0.06403595,10.064956,0.0035,5041.8423,4.4005,,,,,,
25,18.39188,18.908913,17.741125,0.3934035714833243,0.20319265,1.9361113,0.0078,4669.563,4.8133,,,,,,
31,17.455889,17.845205,16.918114,0.485198120128767,0.107176855,4.527079,0.0068,5258.108,4.7473,,,,,,
32,17.748514,18.406315,16.85014,0.5122438602537948,0.13556853,3.7784863,0.0552,4143.5176,4.3911,,,,,,
33,16.36841,17.229197,15.462913,1.9026035702303892,0.068837754,27.638954,0.4535,4205.295,4.6026,,,,,,
34,15.619401,16.301027,14.825943,1.8043001430876853,0.03665516,49.22363,0.3298,4564.992,4.5921,78.17541292201048,2.0317369999999997,9.119282643589713,8.413253080692044,-1.5013012322768178,K
36,18.48129,19.996313,17.299767,2.332288458190213,0.18707176,12.467347,0.4506,3405.8582,4.8771,98.29537739601832,2.610729000000001,11.38871553255882,10.22332102775724,-2.2253284111028964,M
39,18.955885,20.351568,17.835901,1.4803281376084916,0.28634405,5.169753,0.0209,3373.7148,5.0259,,,,,,
40,13.720588,14.102062,13.176903,1.5066214196872123,0.01800185,83.69259,0.036,5424.7534,4.323,88.23437597597811,0.7732780000000004,3.2813273697631367,3.154926207215947,0.6020295171136212,G
41,15.764267,16.82585,14.694442,2.4071932828893208,0.11943723,20.154463,0.6883,4032.8875,4.3816,94.65345019798401,2.694030999999999,11.97488429233605,10.733601755060004,-2.4294407020240016,M
47,15.916855,16.297924,15.3582735,0.8450007936597258,0.041727364,20.250519,0.0881,5367.3296,4.6239,,,,,,
49,18.604958,20.5815,17.247887,4.876159922185943,0.24986272,19.515356,0.6098,3001.3103,4.6529,87.15712952803557,2.569063,10.683444849065001,9.549736407196768,-1.9558945628787072,M
51,17.908281,18.610128,17.12599,0.9468488435668772,0.11901699,7.9555774,0.0085,4242.177,4.722,,,,,,
54,17.737846,18.692371,16.781155,1.298287169491379,0.10634641,12.208096,0.0957,3607.4688,4.2103,,,,,,
64,16.014671,16.98673,15.033065,3.668025346546492,0.055334933,66.2877,0.1915,3619.51,4.4107,,,,,,
67,12.781659,13.07565,12.320119,1.8109109757031632,0.0651908,27.77863,0.1194,6034.4673,3.8941,,,,,,
69,18.542822,19.525425,17.446497,0.8489909261436088,0.21697702,3.912815,0.1122,3446.0425,4.5683,,,,,,
71,15.898786,16.538113,15.128933,1.4316256177729765,0.058458377,24.489656,0.1502,4431.7007,4.4452,96.48337415826678,1.0559250000000002,5.2433053520648585,5.025547585270608,-0.1462190341082433,K
72,13.677025,14.102883,13.088522,2.4583862227185067,0.016297812,150.84149,0.2022,5470.3,4.6032,95.08353307357062,3.4186309999999978,14.242624221962604,12.23406744656992,-3.0296269786279684,M
73,18.768946,19.777822,17.7685,0.7310379595318057,0.28316492,2.5816686,0.0063,3516.0195,4.6447,52.08418002843325,2.8579409999999985,12.163555913165851,10.711732843163741,-2.4206931372654967,M
74,13.541017,13.986058,12.933383,0.7876427971267984,0.017283093,45.573025,0.0969,5078.349,3.4718,91.64378658857345,1.4120930000000005,7.033219781604014,6.674410873463607,-0.8057643493854428,K
76,15.272224,15.948316,14.46632,2.396620734849744,0.03716497,64.48601,0.2434,4477.792,4.634,,,,,,
77,18.55968,20.110538,17.413012,1.6128580799570105,0.22916237,7.0380583,0.2882,3355.1118,4.8149,99.92520766968579,1.6883239999999997,7.825202954408034,7.338575202469389,-1.0714300809877557,K
78,16.302345,17.276709,15.325517,3.2392747555809214,0.05398012,60.008663,0.2708,3696.2183,4.5932,53.282070763667214,0.8757830000000002,5.1701295799343505,5.013738025067335,-0.1414952100269339,G
84,15.938369,16.285517,15.412087,0.4781704804975544,0.046958283,10.1828785,0.1387,5639.062,4.5644,59.79536914508181,0.6664142999999996,4.2048883543510005,4.105807243319855,0.22167710267205792,F
88,18.754793,20.154097,17.536768,2.082749536091002,0.18002145,11.569452,0.5051,3422.519,4.2568,,,,,,
90,12.997924,13.368381,12.458953,1.3151761170964484,0.013473772,97.610085,0.2589,5792.3916,3.989,92.74087224857203,2.629714999999999,11.556123413771246,10.369416118923077,-2.283766447569231,M
91,16.247015,16.916666,15.466105,1.422250438275833,0.04993331,28.482998,0.1786,4424.0513,4.5342,93.84199777735746,1.409927999999999,7.212017636521253,6.8418717760713825,-0.872748710428553,K
