,Apparent G magnitude,Blue photometer magnitude,Red photometer magnitude,Parallax,Parallax error,Parallax over error,Extinction in G band,Effective temperature,Surface gravity,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
0,10.882218,11.367058,10.239973,10.390628064061833,0.014151007,734.26776,0.048,4958.874,4.5744,96.2405731236507,1.1270849999999992,6.15797832747468,5.917426996935312,-0.5029707987741248,K
3,13.219018,14.225509,12.221742,11.895246284149833,0.013375249,889.34766,0.4111,3945.6836,4.7032,84.06719592956046,2.003767,8.87043326838209,8.184785191404035,-1.4099140765616143,K
12,14.070296,15.360045,12.949181,11.287818126560108,0.04696834,240.32823,0.4793,3549.5322,4.5552,88.59108011733564,2.410864,9.846938880727496,8.85404601645839,-1.6776184065833561,M
15,12.42188,13.291641,11.505801,11.04055558204551,0.018207239,606.38275,0.3997,4208.4453,4.5965,90.57515199925543,1.7858400000000003,7.779389189164043,7.237134642394125,-1.03085385695765,K
19,11.219054,11.761295,10.526865,10.40593529511436,0.017739747,586.5887,0.0404,4716.597,4.5688,96.09900231356474,1.2344299999999997,6.551012973256544,6.265059605463865,-0.6420238421855459,K
27,13.587292,15.3195305,12.332362,48.66139243115562,0.02339976,2079.568,0.0001,3000.5178,4.7705,20.550172324286937,2.987168500000001,13.606690657933342,12.023114659895,-2.945245863958,M
29,16.445955,18.540255,15.107171,15.79634456606612,0.060114894,262.76923,0.0018,2969.9263,5.0488,63.305785450401665,3.433083999999999,14.51925553654499,12.436937992222088,-3.1107751968888353,M
30,11.54818,12.143548,10.709867,11.6564030781476,0.014743164,790.63104,0.0229,4270.858,4.466,85.78975806650956,1.433681,7.239250253764066,6.858102784573461,-0.8792411138293844,K
34,13.283304,14.309132,12.277395,12.791745673254354,0.015672456,816.1928,0.4047,3860.088,4.7429,78.17541292201048,2.0317369999999997,9.119282643589713,8.413253080692044,-1.5013012322768178,K
36,15.6922865,17.129932,14.519203,10.17341838946444,0.045783233,222.20839,0.5063,3415.1597,4.7977,98.29537739601832,2.610729000000001,11.38871553255882,10.22332102775724,-2.2253284111028964,M
40,7.8838153,8.166665,7.393387,11.33345126475707,0.062047064,182.65895,0.0007,5794.879,4.0158,88.23437597597811,0.7732780000000004,3.2813273697631367,3.154926207215947,0.6020295171136212,G
41,16.132784,17.635717,14.941686,10.564855247308234,0.07403235,142.70593,0.5185,3349.9622,4.7828,94.65345019798401,2.694030999999999,11.97488429233605,10.733601755060004,-2.4294407020240016,M
42,13.4555645,14.465661,12.4591055,10.768829985839886,0.019480925,552.78845,0.1435,3568.0847,4.3433,92.86059872009463,2.006555500000001,9.187271167030655,8.472907102703356,-1.5251628410813425,M
43,13.9684515,15.111362,12.907694,10.153830893349724,0.024566842,413.31445,0.4044,3724.609,4.7017,98.48499650067566,2.2036680000000004,9.430563933118222,8.597201130926624,-1.5748804523706497,K
44,10.822438,11.277966,10.195129,11.05189932752989,0.18519184,59.678112,0.3329,5371.4326,4.5888,90.48218504027045,1.0828369999999996,5.9015440928051355,5.706722601228982,-0.41868904049159283,G
45,16.057354,17.64612,14.843371,16.26973368103566,0.053578004,303.66443,0.0021,3188.1228,5.1479,61.46382108058848,2.8027490000000004,13.509328697276793,12.112156220184218,-2.9808624880736874,M
49,14.697751,16.102753,13.53369,11.473530684352484,0.026814409,427.88675,0.4465,3483.2952,4.813,87.15712952803557,2.569063,10.683444849065001,9.549736407196768,-1.9558945628787072,M
50,10.763823,11.329624,10.055134,14.894124632662257,0.015250214,976.6502,0.0007,4571.967,4.5799,67.14056882584677,1.2744900000000001,6.9358039681430945,6.628197918293775,-0.7872791673175101,K
52,13.396912,14.5635,12.324367,12.992139448554038,0.017887097,726.34143,0.3893,3645.768,4.6005,76.96961720275371,2.239132999999999,9.438421532739888,8.576015366679357,-1.566406146671743,M
56,11.504931,12.053533,10.660012,10.263786814817744,0.1372355,74.78959,0.2613,4494.6426,4.3341,97.4299269891604,1.3935209999999998,6.6375358831943565,6.300169114481577,-0.6560676457926307,K
63,17.029917,19.134129,15.694956,14.827790465028956,0.07820222,189.6083,0.0004,2976.192,5.1451,67.44093142929688,3.439173000000002,14.97464610022504,12.884899201420538,-3.289959680568215,M
65,15.320843,16.716702,14.164123,11.31622071943454,0.04428798,255.51451,0.4669,3426.5327,4.7449,88.36872528322061,2.5525790000000015,11.239382974459975,10.122450048245032,-2.184980019298013,M
71,9.94981,10.398103,9.342178,10.364479981386712,0.021585725,480.15433,0.002,5017.3457,4.3357,96.48337415826678,1.0559250000000002,5.2433053520648585,5.025547585270608,-0.1462190341082433,K
72,17.691494,19.78962,16.370989,10.517068178632496,0.1586226,66.30246,0.5669,3128.312,5.0711,95.08353307357062,3.4186309999999978,14.242624221962604,12.23406744656992,-3.0296269786279684,M
73,14.295762,15.921978,13.064037,19.199687879392368,0.024958026,769.2791,0.0005,3017.0652,4.3054,52.08418002843325,2.8579409999999985,12.163555913165851,10.711732843163741,-2.4206931372654967,M
74,11.623326,12.268665,10.856572,10.911814507287987,0.021719562,502.39572,0.1384,4528.7036,4.6059,91.64378658857345,1.4120930000000005,7.033219781604014,6.674410873463607,-0.8057643493854428,K
77,12.6994505,13.507222,11.818898,10.007484831111029,0.016387776,610.66766,0.3625,4270.555,4.673,99.92520766968579,1.6883239999999997,7.825202954408034,7.338575202469389,-1.0714300809877557,K
78,8.6472435,9.001652,8.125869,18.76803933607429,0.02044158,918.13055,0.0006,5512.998,4.4187,53.282070763667214,0.8757830000000002,5.1701295799343505,5.013738025067335,-0.1414952100269339,G
79,9.988005,10.419327,9.391081,13.83342165783968,0.020896172,662.00745,0.0002,5180.156,4.5292,72.28869507012243,1.0282459999999993,5.900209441805492,5.692453074560921,-0.4129812298243685,K
80,15.621596,17.164576,14.408148,10.80571202116765,0.039105523,276.3219,0.5589,3380.5857,4.9031,92.54364710451921,2.7564279999999997,11.527537511082262,10.230962945719597,-2.2283851782878386,M
82,17.173874,19.104261,15.886127,10.31352903873856,0.09175184,112.406784,0.6863,3193.8406,5.0211,96.96002175820792,3.218134000000001,13.319383009588773,11.554610478601994,-2.757844191440798,M
84,7.989245,8.239635,7.5732207,16.723703094359948,0.024346137,686.91406,0.0001,6150.635,4.3265,59.79536914508181,0.6664142999999996,4.2048883543510005,4.105807243319855,0.22167710267205792,F
86,10.513511,10.942912,9.848972,10.738206914959852,0.0947792,113.29709,0.0832,5004.6777,4.4346,93.12541729912631,1.09394,5.809023527259772,5.584969840732249,-0.36998793629289967,K
87,15.0822315,16.573683,13.891906,11.278005564884984,0.029056547,388.1399,0.5145,3429.8752,4.8472,88.6681598308112,2.6817769999999985,11.059081921370126,9.828893022727467,-2.0675572090909866,M
90,15.672572,17.11987,14.490155,10.782732313749587,0.060428362,178.43828,0.4668,3412.7646,4.9461,92.74087224857203,2.629714999999999,11.556123413771246,10.369416118923077,-2.283766447569231,M
91,11.718158,12.357705,10.947777,10.656209625593496,0.09445604,112.816605,0.0143,4345.5913,4.4731,93.84199777735746,1.409927999999999,7.212017636521253,6.8418717760713825,-0.872748710428553,K
92,8.800286,9.075633,8.336778,10.468458630578244,0.12448353,84.09513,0.0758,6006.925,4.2064,95.52504674174399,0.7388549999999992,3.9335392933151567,3.823899705665628,0.3344401177337488,F
94,15.590765,17.099379,14.395179,10.764629541880383,0.03892586,276.54187,0.51,3369.0544,4.803,92.89683366338294,2.7041999999999984,11.492470485441014,10.240760442193015,-2.232304176877206,M
99,5.883992,6.0531483,5.576332,23.1939200794336,0.031118443,745.3432,0.0,6873.848,4.0645,43.114747165431304,0.4768163000000003,2.771111416979103,2.71086278178171,0.779654887287316,F
100,7.3485003,7.669333,6.8568206,21.47188045529033,0.024101965,890.8768,0.0002,5664.091,4.0912,46.572539470040496,0.8125124000000001,4.145147090374596,4.007650702803964,0.26093971887841433,G
101,14.779146,16.028385,13.671795,10.015112021544365,0.038202647,262.15753,0.4296,3587.7366,4.806,99.8491078131542,2.3565900000000006,10.30550030949524,9.352825056748319,-1.8771300226993277,M
106,8.0275345,8.294506,7.586774,12.92284639312406,0.04469619,289.12637,0.0003,5971.4253,4.1361,77.38233277554674,0.707732,3.6932036621009274,3.58402541066261,0.43038983573495604,G
108,12.199197,12.9700985,11.343612,10.322727585610998,0.016324366,632.35095,0.3766,4419.01,4.6296,96.87362101794827,1.6264865000000004,7.340860413762329,6.891569332805364,-0.8926277331221457,K
111,13.504987,14.968083,12.319238,27.260621058031155,0.023454612,1162.2712,0.0004,3280.231,4.9541,36.68295002785322,2.6488449999999997,11.933233793017095,10.682265729063964,-2.408906291625586,M
112,13.665395,15.095627,12.492293,23.62517112103044,0.024801886,952.5554,0.0087,3217.445,4.6636,42.32773573901562,2.6033340000000003,11.73199534451236,10.523569814298064,-2.3454279257192256,M
113,12.037538,12.867126,11.141928,13.8271724685126,0.015716577,879.78265,0.2673,4200.4287,4.6104,72.32136593921945,1.7251980000000007,7.992106327499322,7.473904899509186,-1.1255619598036746,K
116,14.768561,16.065435,13.646535,10.503998564282991,0.027711747,379.04498,0.4796,3555.2756,4.7809,95.20184088755734,2.4189000000000007,10.395374495375982,9.395734268603984,-1.8942937074415938,M
120,15.270865,16.485403,14.16149,10.987955500568766,0.04336852,253.36247,0.3566,3447.3005,4.541,91.00874133939087,2.323913000000001,11.052110509418377,10.118849459650626,-2.1835397838602506,M
122,16.2652,17.794592,15.066739,10.110783536855022,0.06141196,164.63867,0.4431,3338.8306,4.9886,98.90430314870056,2.7278530000000014,12.126839855272237,10.846024063091956,-2.474409625236783,M
128,15.416297,16.90341,14.227257,11.525239082557173,0.037372474,308.38846,0.5311,3418.4648,4.9165,86.76609594272504,2.676153000000001,11.416717999057745,10.193446716364104,-2.2133786865456417,M
130,5.756682,6.0736275,5.269786,59.47279310870263,0.036096618,1647.6002,0.0,5750.9917,4.4057,16.81441122451117,0.8038414999999999,4.7633031420637035,4.628273676960131,0.012690529215947778,G
131,8.746449,9.066816,8.2565365,10.11975996240304,0.01865332,542.5179,0.0258,5767.4263,4.0948,98.81657309216847,0.8102795,3.8807935305998225,3.7465000564713957,0.3653999774114418,G
134,8.725471,8.982477,8.305279,11.132892584047802,0.018983105,586.4632,0.0008,6149.507,4.277,89.8239152538747,0.6771979999999989,4.059305695349851,3.957711093945319,0.28091556242187254,F
136,9.629856,9.9749,9.115157,11.3446939892343,0.015988667,709.54596,0.0259,5610.1514,4.4256,88.14693467703611,0.8597429999999999,5.026849935882961,4.877919928791275,-0.08716797151651008,G
137,15.194421,16.717627,13.992056,11.45310802730921,0.033859394,338.25497,0.4938,3393.745,4.8636,87.31254412475316,2.7255710000000004,11.268812498591359,9.995237785321056,-2.134095114128422,M
138,14.295124,15.481021,13.215655,11.28999130491364,0.02218273,508.9541,0.4427,3659.0798,4.8156,88.57402747199453,2.265366,9.993604603344039,9.115892037246859,-1.7823568148987434,M
139,15.619622,17.031454,14.459607,10.237362380196029,0.04428788,231.15495,0.4875,3424.8928,4.7747,97.68141078355103,2.571847,11.315168812491539,10.183062383159498,-2.2092249532637993,M
142,13.60348,15.2797365,12.361332,27.971987717883657,0.022119787,1264.5686,0.0002,3000.182,4.3177,35.750051447386355,2.9184044999999994,12.349655991044873,10.83689664437745,-2.4707586577509804,M
144,13.996849,15.093855,12.956005,10.20678479818062,0.020621598,494.9561,0.426,3776.511,4.7514,97.97404567383963,2.1378500000000003,9.396553175811228,8.61529379059423,-1.582117516237692,K
146,9.920633,10.287307,9.385546,10.969874447270998,0.018589059,590.12537,0.098,5590.456,4.4907,91.15874614670476,0.9017610000000005,5.17846891195018,5.023641285016023,-0.14545651400640908,G
147,14.417983,15.807238,13.258037,11.831171660416295,0.027482554,430.49753,0.4832,3536.1707,4.7735,84.52248253194678,2.549201,10.412216635028791,9.299921778277742,-1.855968711311097,M
149,17.16023,19.231987,15.845228,14.462367167453491,0.10753655,134.48793,0.0014,2989.899,5.1771,69.14497387747336,3.3867589999999996,14.987347728272386,12.960026915561556,-3.3200107662246228,M
153,17.878334,19.966679,16.516155,12.24696244052729,0.13778836,88.882416,0.0021,2919.187,5.1803,81.65290004408189,3.450523999999998,15.419575793782172,13.316375929665618,-3.4625503718662474,M
156,16.774261,18.862175,15.456452,17.58501923215187,0.073559925,239.05705,0.0021,3001.6218,5.1973,56.866585517952295,3.405723,15.04756649116607,12.997875238133407,-3.335150095253363,M
159,17.136904,19.56835,15.770344,17.575924333295465,0.10273341,171.08284,0.0004,2892.7751,5.1712,56.89601189882349,3.798005999999999,15.90309313883273,13.361094871103298,-3.480437948441319,M
161,10.219606,10.810019,9.497958,18.09840210734654,0.020715281,873.67395,0.0008,4551.2744,4.572,55.25349663847274,1.312061,6.831692408330902,6.507007165341626,-0.7388028661366506,K
162,7.910992,8.374129,7.281984,12.280152590785637,0.024038954,510.8439,0.0962,5009.004,3.608,81.43221288230131,1.0921450000000004,3.4828725486043766,3.2608108164868472,0.5596756734052611,K
163,13.108954,14.554293,11.930504,32.158864741441754,0.01979967,1624.2122,0.0,3101.838,4.3459,31.095625048957118,2.6237889999999986,11.873412079581563,10.645457545340129,-2.3941830181360517,M
164,11.82393,12.466366,11.0583105,10.333140936682684,0.013801931,748.6735,0.14,4507.482,4.6161,96.77599542361769,1.4080555000000015,7.111740859630281,6.755091764485179,-0.8380367057940717,K
